municipio,rio,data,hora,latitude,longitude,choveu,ph,od,turbidez,temperatura,condutividade,std,fosforo,nitrogenio,salinidade,rio_original,status_ph,status_od,status_turbidez,indice_problemas,status_ph_graf,status_od_graf,status_turb_graf
SAO LUIS,RIO CALHAU,2019-07-02,15:10:00,-2.49138,-44.25884,NÃO,10.98,0.85,48.7,29.4,406.4,,,,0.19,,Não Conforme,Não Conforme,Conforme,2,Fora do Padrão,Fora do Padrão,Dentro do Padrão
SAO LUIS,RIO JAGUAREMA,2019-07-02,14:53:00,-2.47871,-44.2106,NÃO,6.5,6.18,10.58,29.6,264.4,,,,0.12,,Conforme,Conforme,Conforme,0,Dentro do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO ANIL,2019-07-02,07:15:00,-2.53233,-44.27333,NÃO,7.83,5.15,20.6,29.92,40550.0,,,,26.1,,Conforme,Conforme,Conforme,0,Dentro do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO TIBIRI,2019-07-02,10:40:00,-2.65098,-44.21401,NÃO,7.7,6.37,37.9,29.98,19998.0,,,,11.85,,Conforme,Conforme,Conforme,0,Dentro do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO DOS CACHORROS,2019-07-02,08:22:00,-2.66699,-44.32016,NÃO,7.73,5.26,37.67,29.21,30881.0,,,,19.03,,Conforme,Conforme,Conforme,0,Dentro do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO TIBIRI,2019-07-02,09:05:00,-2.68907,-44.21015,NÃO,7.54,5.3,61.5,28.73,26624.0,,,,16.23,,Conforme,Conforme,Conforme,0,Dentro do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO ITAPIRACO,2019-06-02,14:01:00,-2.52372,-44.2037,NÃO,6.88,1.65,19.2,27.79,573.0,,,,0.27,,Conforme,Não Conforme,Conforme,1,Dentro do Padrão,Fora do Padrão,Dentro do Padrão
SAO LUIS,RIO CALHAU,2019-03-22,12:57:00,-2.49127,-44.2591,NÃO,6.56,3.44,,28.2,314.0,,,,0.1,,Conforme,Não Conforme,Sem Dado,1,Dentro do Padrão,Fora do Padrão,Sem Dado
SAO LUIS,RIO JAGUAREMA,2019-03-22,11:47:00,-2.47836,-44.21042,NÃO,6.15,6.31,23.4,27.63,235.4,,,,0.11,,Conforme,Conforme,Conforme,0,Dentro do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO TIBIRI,2019-03-22,10:23:00,-2.65099,-44.21411,NÃO,7.26,2.88,528.3,28.83,13520.0,,,,7.75,,Conforme,Não Conforme,Não Conforme,2,Dentro do Padrão,Fora do Padrão,Fora do Padrão
SAO LUIS,RIO TIBIRI,2019-03-22,08:30:00,-2.68913,-44.21022,NÃO,7.5,3.52,150.2,28.87,16430.0,,,,9.7,,Conforme,Não Conforme,Não Conforme,2,Dentro do Padrão,Fora do Padrão,Fora do Padrão
SAO LUIS,RIO ANIL,2019-03-21,08:19:00,-2.523875,-44.279067,NÃO,7.91,5.42,93.19,28.85,42446.0,,,,27.11,,Conforme,Conforme,Conforme,0,Dentro do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO BACANGA,2019-03-21,09:09:00,-2.56586,-44.28444,NÃO,7.2,2.87,171.3,27.72,541.0,,,,0.26,,Conforme,Não Conforme,Não Conforme,2,Dentro do Padrão,Fora do Padrão,Fora do Padrão
SAO LUIS,RIO DOS CACHORROS,2019-03-21,10:00:00,-2.66709,-44.32008,NÃO,7.62,3.78,342.2,28.84,28176.0,,,,17.16,,Conforme,Não Conforme,Não Conforme,2,Dentro do Padrão,Fora do Padrão,Fora do Padrão
SAO LUIS,RIO ITAPIRACO,2019-03-21,15:11:00,-2.52304,-44.20021,NÃO,6.82,18.1,22.01,29.09,490.3,,,,0.23,,Conforme,Conforme,Conforme,0,Dentro do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO CALHAU,2018-11-29,09:27:00,-2.49138,-44.25884,NÃO,7.6,3.84,,28.75,366.0,,,,0.12,,Conforme,Não Conforme,Sem Dado,1,Dentro do Padrão,Fora do Padrão,Sem Dado
SAO LUIS,RIO JAGUAREMA,2018-11-29,09:50:00,-2.47871,-44.2106,NÃO,5.96,5.97,1.73,27.59,199.7,,,,0.09,,Não Conforme,Conforme,Conforme,1,Fora do Padrão,Dentro do Padrão,Dentro do Padrão
